# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999999   -0.79368873    3.48622108    3.13136493    0.54489720   -1.00000000  -1.30317e+01
    5.00    0.10096710    0.10096709   -0.78694827    3.48663921    3.12970291    0.54489720   -1.00000000  -1.30201e+01
    5.00    0.10604003    0.10604002   -0.75171562    3.48881723    3.12104832    0.54489720   -1.00000000  -1.29662e+01
    5.00    0.11100324    0.11100322   -0.71760177    3.49092527    3.11284618    0.54489720   -1.00000000  -1.29228e+01
    5.00    0.11510475    0.11510473   -0.68961201    3.49266290    3.10625172    0.54489720   -1.00000000  -1.28908e+01
    5.00    0.11964032    0.11964030   -0.65896717    3.49455145    3.09913461    0.54489720   -1.00000000  -1.28617e+01
    5.00    0.12293510    0.12293508   -0.63693430    3.49589214    3.09406813    0.54489720   -1.00000000  -1.28449e+01
    5.00    0.12754526    0.12754524   -0.60627981    3.49777237    3.08717074    0.54489720   -1.00000000  -1.28221e+01
    5.00    0.13207549    0.13207547   -0.57643556    3.49959738    3.08058118    0.54489720   -1.00000000  -1.28028e+01
    5.00    0.13709008    0.13709006   -0.54369552    3.50160406    3.07352837    0.54489720   -1.00000000  -1.27835e+01
    5.00    0.14128368    0.14128365   -0.51661357    3.50324565    3.06778190    0.54489720   -1.00000000  -1.27707e+01
    5.00    0.14542469    0.14542467   -0.49009412    3.50484603    3.06224790    0.54489720   -1.00000000  -1.27597e+01
    5.00    0.14951633    0.14951630   -0.46413063    3.50640711    3.05693874    0.54489720   -1.00000000  -1.27503e+01
    5.00    0.15498258    0.15498255   -0.43731907    3.50854690    3.05284009    0.54489720   -1.00000000  -1.27176e+01
    5.00    0.16056303    0.16056300   -0.41095886    3.51071746    3.04910642    0.54489720   -1.00000000  -1.26872e+01
    5.00    0.16879001    0.16878998   -0.37253745    3.51387578    3.04387568    0.54489720   -1.00000000  -1.26504e+01
    5.00    0.17419685    0.17419681   -0.34756819    3.51592333    3.04060705    0.54489720   -1.00000000  -1.26304e+01
    5.00    0.17954513    0.17954509   -0.32308581    3.51792715    3.03750411    0.54489720   -1.00000000  -1.26133e+01
    5.00    0.18484155    0.18484151   -0.29905722    3.51988957    3.03455974    0.54489720   -1.00000000  -1.25986e+01
    5.00    0.19267566    0.19267561   -0.26389165    3.52275187    3.03041905    0.54489720   -1.00000000  -1.25806e+01
    5.00    0.19783277    0.19783272   -0.24096400    3.52461223    3.02781930    0.54489720   -1.00000000  -1.25708e+01
    5.00    0.20565780    0.20565775   -0.21144063    3.52722961    3.02514681    0.54489720   -1.00000000  -1.25420e+01
    5.00    0.21154606    0.21154601   -0.19085390    3.52911925    3.02353129    0.54489720   -1.00000000  -1.25207e+01
    5.00    0.21708857    0.21708851   -0.17161093    3.53088504    3.02209394    0.54489720   -1.00000000  -1.25029e+01
    5.00    0.22535286    0.22535279   -0.14320195    3.53347686    3.02007010    0.54489720   -1.00000000  -1.24809e+01
    5.00    0.23083982    0.23083976   -0.12452455    3.53517313    3.01881261    0.54489720   -1.00000000  -1.24687e+01
    5.00    0.23901112    0.23901105   -0.09694792    3.53766218    3.01702979    0.54489720   -1.00000000  -1.24537e+01
    5.00    0.24472835    0.24472828   -0.07779992    3.53938882    3.01586947    0.54489720   -1.00000000  -1.24447e+01
    5.00    0.25379036    0.25379028   -0.04944548    3.54207888    3.01449529    0.54489720   -1.00000000  -1.24266e+01
    5.00    0.26272881    0.26272873   -0.02395741    3.54473694    3.01379464    0.54489720   -1.00000000  -1.24030e+01
    5.00    0.27350098    0.27350089    0.00656006    3.54791892    3.01306414    0.54489720   -1.00000000  -1.23779e+01
    5.00    0.28513686    0.28513677    0.03918243    3.55131742    3.01246266    0.54489720   -1.00000000  -1.23567e+01
    5.00    0.29640592    0.29640582    0.07037625    3.55454903    3.01204123    0.54489720   -1.00000000  -1.23404e+01
    5.00    0.30410950    0.30410939    0.09088841    3.55679762    3.01206719    0.54489720   -1.00000000  -1.23276e+01
    5.00    0.31132679    0.31132668    0.10943667    3.55895233    3.01235554    0.54489720   -1.00000000  -1.23135e+01
