# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999999   -0.85002931    3.46854525    3.11700218    0.54489720   -1.00000000  -1.30808e+01
    5.00    0.10230875    0.10230874   -0.83335633    3.46959950    3.11267718    0.54489720   -1.00000000  -1.30526e+01
    5.00    0.10534663    0.10534662   -0.81152874    3.47097413    3.10704705    0.54489720   -1.00000000  -1.30201e+01
    5.00    0.11038904    0.11038903   -0.77548416    3.47325431    3.09788164    0.54489720   -1.00000000  -1.29717e+01
    5.00    0.11374681    0.11374679   -0.75173037    3.47474487    3.09191557    0.54489720   -1.00000000  -1.29462e+01
    5.00    0.11815176    0.11815175   -0.72072337    3.47671391    3.08429821    0.54489720   -1.00000000  -1.29134e+01
    5.00    0.12316128    0.12316127   -0.68582077    3.47891795    3.07585443    0.54489720   -1.00000000  -1.28830e+01
    5.00    0.12695732    0.12695730   -0.65965204    3.48055729    3.06961203    0.54489720   -1.00000000  -1.28646e+01
    5.00    0.13045477    0.13045475   -0.63563273    3.48208416    3.06401762    0.54489720   -1.00000000  -1.28467e+01
    5.00    0.13518830    0.13518828   -0.60346646    3.48411127    3.05663043    0.54489720   -1.00000000  -1.28272e+01
    5.00    0.13982812    0.13982810   -0.57221069    3.48607555    3.04957239    0.54489720   -1.00000000  -1.28107e+01
    5.00    0.14437336    0.14437333   -0.54194606    3.48797753    3.04292322    0.54489720   -1.00000000  -1.27968e+01
    5.00    0.14880879    0.14880877   -0.51262861    3.48981244    3.03656626    0.54489720   -1.00000000  -1.27852e+01
    5.00    0.15432503    0.15432500   -0.48365990    3.49201661    3.03141672    0.54489720   -1.00000000  -1.27534e+01
    5.00    0.16017020    0.16017017   -0.45527163    3.49431644    3.02683354    0.54489720   -1.00000000  -1.27198e+01
    5.00    0.16593655    0.16593652   -0.42755528    3.49656556    3.02252245    0.54489720   -1.00000000  -1.26916e+01
    5.00    0.17161405    0.17161402   -0.40048810    3.49876128    3.01842498    0.54489720   -1.00000000  -1.26679e+01
    5.00    0.17721159    0.17721155   -0.37403535    3.50090879    3.01454924    0.54489720   -1.00000000  -1.26478e+01
    5.00    0.18464540    0.18464537   -0.33927299    3.50372774    3.00963809    0.54489720   -1.00000000  -1.26263e+01
    5.00    0.19039554    0.19039550   -0.31259718    3.50589844    3.00601339    0.54489720   -1.00000000  -1.26113e+01
    5.00    0.19625423    0.19625419   -0.28563339    3.50809980    3.00249458    0.54489720   -1.00000000  -1.25981e+01
    5.00    0.20166314    0.20166310   -0.26238965    3.51007998    2.99975487    0.54489720   -1.00000000  -1.25829e+01
    5.00    0.20962727    0.20962723   -0.23327068    3.51286815    2.99722469    0.54489720   -1.00000000  -1.25483e+01
    5.00    0.21497729    0.21497724   -0.21391141    3.51471862    2.99563667    0.54489720   -1.00000000  -1.25290e+01
    5.00    0.22144263    0.22144258   -0.19072340    3.51691950    2.99378331    0.54489720   -1.00000000  -1.25104e+01
    5.00    0.22820267    0.22820261   -0.16663019    3.51921790    2.99198602    0.54489720   -1.00000000  -1.24921e+01
    5.00    0.23529415    0.23529409   -0.14170219    3.52157095    2.99021491    0.54489720   -1.00000000  -1.24780e+01
    5.00    0.24126001    0.24125995   -0.12087155    3.52354375    2.98883852    0.54489720   -1.00000000  -1.24668e+01
    5.00    0.24644888    0.24644881   -0.10291288    3.52523644    2.98770766    0.54489720   -1.00000000  -1.24592e+01
    5.00    0.25634729    0.25634721   -0.07213499    3.52824860    2.98591292    0.54489720   -1.00000000  -1.24347e+01
    5.00    0.26409545    0.26409538   -0.04967501    3.53051088    2.98477226    0.54489720   -1.00000000  -1.24135e+01
    5.00    0.27555462    0.27555454   -0.01674214    3.53383083    2.98326621    0.54489720   -1.00000000  -1.23874e+01
    5.00    0.28579283    0.28579275    0.01234691    3.53676399    2.98212328    0.54489720   -1.00000000  -1.23692e+01
    5.00    0.29433452    0.29433443    0.03642948    3.53919046    2.98127338    0.54489720   -1.00000000  -1.23556e+01
    5.00    0.30630850    0.30630840    0.06874035    3.54248210    2.98008468    0.54489720   -1.00000000  -1.23355e+01
    5.00    0.31213272    0.31213262    0.08368619    3.54405731    2.97963716    0.54489720   -1.00000000  -1.23231e+01
